Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-5570M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,11/05/2023 12:31,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5570.9,0.0,00:26:34.4,00:02:23.3,3.49,00:00:00.0,0.00,30.0,773,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.4579884,0.3187367


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5570.9,0.0,00:26:34.4,00:02:23.3,3.49,00:00:00.0,0.00,30.0,773,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.4579884,0.3187367



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.9,0.0,00:00:03.8,00:14:52.9,0.56,00:00:00.0,0.00,16.0,1,1.9,0.0,---,---,---,---,---,---,---,---,---,---,52.4579884,0.3187367
1,6.7,0.0,00:00:16.8,00:13:01.2,0.64,00:00:00.0,0.00,18.0,2,4.8,0.0,---,---,---,---,---,---,---,---,---,---,52.4579618,0.3187927
1,11.8,0.0,00:00:19.8,00:05:37.8,1.48,00:00:00.0,0.00,20.5,3,5.2,0.0,---,---,---,---,---,---,---,---,---,---,52.4579060,0.3187946
1,18.3,0.0,00:00:22.4,00:03:41.2,2.26,00:00:00.0,0.00,22.5,4,6.5,0.0,---,---,---,---,---,---,---,---,---,---,52.4578475,0.3187865
1,26.2,0.0,00:00:25.0,00:03:04.5,2.71,00:00:00.0,0.00,23.5,5,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.4577768,0.3187780
1,34.5,0.0,00:00:27.8,00:02:50.1,2.94,00:00:00.0,0.00,22.5,6,8.3,0.0,---,---,---,---,---,---,---,---,---,---,52.4577020,0.3187734
1,42.3,0.0,00:00:30.4,00:02:47.2,2.99,00:00:00.0,0.00,22.5,7,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.4576321,0.3187724
1,50.2,0.0,00:00:33.0,00:02:47.8,2.98,00:00:00.0,0.00,22.0,8,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.4575610,0.3187769
1,58.1,0.0,00:00:35.6,00:02:45.6,3.02,00:00:00.0,0.00,23.0,9,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.4574905,0.3187910
1,66.9,0.0,00:00:38.4,00:02:42.3,3.08,00:00:00.0,0.00,22.5,10,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.4574128,0.3188118
1,75.2,0.0,00:00:41.0,00:02:38.7,3.15,00:00:00.0,0.00,22.5,11,8.3,0.0,---,---,---,---,---,---,---,---,---,---,52.4573386,0.3188157
