Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-7665M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,03/02/2024 10:54,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7665.7,0.0,00:49:59.4,00:03:16.1,2.55,00:00:00.0,0.00,27.5,793,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2217201,0.1639075


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7665.7,0.0,00:49:59.4,00:03:16.1,2.55,00:00:00.0,0.00,27.5,793,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2217201,0.1639075



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3.2,0.0,00:00:02.1,00:03:43.2,2.24,00:00:00.0,0.00,28.5,1,3.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2217201,0.1639075
1,5.3,0.0,00:00:03.1,00:04:21.8,1.91,00:00:00.0,0.00,31.0,2,2.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2217102,0.1638803
1,15.5,0.0,00:00:07.1,00:03:24.1,2.45,00:00:00.0,0.00,16.5,3,10.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2216647,0.1637505
1,25.7,0.0,00:00:10.2,00:02:56.1,2.84,00:00:00.0,0.00,17.5,4,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2216233,0.1636184
1,63.8,0.0,00:00:24.5,00:03:10.1,2.63,00:00:00.0,0.00,34.0,5,38.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2214611,0.1631275
1,67.6,0.0,00:00:25.9,00:03:34.6,2.33,00:00:00.0,0.00,30.0,6,3.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2214394,0.1630841
1,83.0,0.0,00:00:31.5,00:03:03.1,2.73,00:00:00.0,0.00,11.0,7,15.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2213619,0.1628983
1,93.1,0.0,00:00:34.9,00:02:54.8,2.86,00:00:00.0,0.00,17.5,8,10.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2213181,0.1627673
1,103.9,0.0,00:00:38.3,00:02:44.5,3.04,00:00:00.0,0.00,18.0,9,10.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2212715,0.1626286
1,114.6,0.0,00:00:41.5,00:02:35.3,3.22,00:00:00.0,0.00,18.5,10,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2212276,0.1624893
1,125.6,0.0,00:00:44.7,00:02:32.0,3.29,00:00:00.0,0.00,18.5,11,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2211849,0.1623442
1,136.7,0.0,00:00:47.9,00:02:27.9,3.38,00:00:00.0,0.00,18.5,12,11.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2211430,0.1621965
1,147.4,0.0,00:00:50.9,00:02:24.5,3.46,00:00:00.0,0.00,19.0,13,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2210954,0.1620594
1,159.0,0.0,00:00:54.1,00:02:22.9,3.50,00:00:00.0,0.00,19.0,14,11.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2210479,0.1619090
