Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3730M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,03/10/2024 15:06,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3730.8,0.0,00:26:46.5,00:03:35.5,2.32,00:00:00.0,0.00,31.0,383,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2299840,0.1702831


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3730.8,0.0,00:26:46.5,00:03:35.5,2.32,00:00:00.0,0.00,31.0,383,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2299840,0.1702831



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.7,0.0,00:00:02.2,00:33:20.0,0.25,00:00:00.0,0.00,27.5,1,0.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2299840,0.1702831
1,1.1,0.0,00:00:04.1,00:30:51.9,0.27,00:00:00.0,0.00,37.5,2,0.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2299858,0.1702847
1,22.5,0.0,00:08:13.1,00:18:07.0,0.46,00:00:00.0,0.00,22.0,3,21.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2301652,0.1703979
1,25.1,0.0,00:08:14.2,00:06:05.0,1.37,00:00:00.0,0.00,34.0,4,2.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2301883,0.1704073
1,34.9,0.0,00:08:17.9,00:03:33.7,2.34,00:00:00.0,0.00,17.5,5,9.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2302740,0.1704388
1,47.4,0.0,00:08:21.0,00:02:35.8,3.21,00:00:00.0,0.00,19.0,6,12.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2303820,0.1704886
1,58.7,0.0,00:08:24.0,00:02:08.5,3.89,00:00:00.0,0.00,20.0,7,11.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2304795,0.1705317
1,70.6,0.0,00:08:27.0,00:02:01.4,4.12,00:00:00.0,0.00,20.5,8,11.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2305838,0.1705721
1,80.8,0.0,00:08:29.9,00:02:05.6,3.98,00:00:00.0,0.00,20.5,9,10.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2306741,0.1705985
1,93.0,0.0,00:08:32.8,00:02:05.3,3.99,00:00:00.0,0.00,20.0,10,12.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2307814,0.1706294
1,105.2,0.0,00:08:35.6,00:01:54.9,4.35,00:00:00.0,0.00,20.5,11,12.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2308876,0.1706720
1,148.1,0.0,00:08:52.6,00:02:42.9,3.07,00:00:00.0,0.00,27.5,12,43.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2312543,0.1708664
1,151.2,0.0,00:08:55.5,00:06:18.8,1.32,00:00:00.0,0.00,36.0,13,3.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2312797,0.1708751
1,155.8,0.0,00:08:59.5,00:07:30.5,1.11,00:00:00.0,0.00,13.0,14,4.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2313203,0.1708806
1,174.0,0.0,00:09:15.5,00:06:53.2,1.21,00:00:00.0,0.00,14.0,15,18.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2314822,0.1709223
1,183.9,0.0,00:09:19.0,00:03:57.0,2.11,00:00:00.0,0.00,18.0,16,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2315704,0.1709409
1,195.8,0.0,00:09:22.1,00:02:41.8,3.09,00:00:00.0,0.00,19.0,17,11.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2316755,0.1709723
1,208.9,0.0,00:09:25.1,00:02:13.7,3.74,00:00:00.0,0.00,19.5,18,13.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2317899,0.1710151
1,311.1,0.0,00:10:09.1,00:02:34.8,3.23,00:00:00.0,0.00,23.5,19,102.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2325428,0.1716996
1,314.2,0.0,00:10:10.5,00:03:41.2,2.26,00:00:00.0,0.00,34.0,20,3.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2325579,0.1717388
1,507.9,0.0,00:13:17.6,00:19:22.8,0.43,00:00:00.0,0.00,23.5,21,193.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2335449,0.1714246
1,509.5,0.0,00:13:19.0,00:07:47.3,1.07,00:00:00.0,0.00,34.0,22,1.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2335247,0.1714145
1,517.8,0.0,00:13:22.2,00:04:08.8,2.01,00:00:00.0,0.00,18.0,23,8.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2334510,0.1713926
1,527.6,0.0,00:13:25.2,00:03:12.3,2.60,00:00:00.0,0.00,19.5,24,9.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2333626,0.1713906
1,537.2,0.0,00:13:28.1,00:02:33.8,3.25,00:00:00.0,0.00,21.0,25,9.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2332761,0.1713902
1,547.9,0.0,00:13:31.0,00:02:17.0,3.65,00:00:00.0,0.00,22.0,26,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2331806,0.1713729
1,558.9,0.0,00:13:33.6,00:02:10.2,3.84,00:00:00.0,0.00,22.5,27,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2330822,0.1713602
1,569.3,0.0,00:13:36.0,00:02:03.5,4.05,00:00:00.0,0.00,24.0,28,10.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2329888,0.1713479
1,578.5,0.0,00:13:38.2,00:02:02.0,4.10,00:00:00.0,0.00,27.5,29,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2329064,0.1713318
1,586.5,0.0,00:13:40.2,00:02:02.2,4.09,00:00:00.0,0.00,28.5,30,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2328353,0.1713145
1,595.1,0.0,00:13:42.2,00:02:01.7,4.11,00:00:00.0,0.00,31.0,31,8.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2327594,0.1712969
1,603.8,0.0,00:13:44.2,00:01:58.2,4.23,00:00:00.0,0.00,31.0,32,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2326820,0.1712767
1,611.4,0.0,00:13:46.0,00:01:51.9,4.47,00:00:00.0,0.00,31.0,33,7.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2326143,0.1712596
1,621.1,0.0,00:13:47.8,00:01:45.9,4.72,00:00:00.0,0.00,34.0,34,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2325297,0.1712269
1,628.5,0.0,00:13:49.6,00:01:50.4,4.53,00:00:00.0,0.00,32.5,35,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2324632,0.1712298
1,638.9,0.0,00:13:51.4,00:01:56.6,4.29,00:00:00.0,0.00,32.5,36,10.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2323756,0.1712864
1,649.2,0.0,00:13:53.2,00:01:41.6,4.92,00:00:00.0,0.00,34.0,37,10.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2322874,0.1713326
1,658.7,0.0,00:13:55.1,00:01:31.7,5.45,00:00:00.0,0.00,32.5,38,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2322044,0.1713262
