Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-13682M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,03/14/2024 07:11,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,13682.9,0.0,01:32:54.9,00:03:24.1,2.45,00:00:00.0,0.00,23.0,1218,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2154095,0.1451424


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,13682.9,0.0,01:32:54.9,00:03:24.1,2.45,00:00:00.0,0.00,23.0,1218,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2154095,0.1451424



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.5,0.0,00:00:01.5,00:15:43.4,0.53,00:00:00.0,0.00,40.0,1,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2154095,0.1451424
1,2.6,0.0,00:00:02.5,00:07:34.5,1.10,00:00:00.0,0.00,40.5,2,1.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2154182,0.1451488
1,4.6,0.0,00:00:03.9,00:06:46.5,1.23,00:00:00.0,0.00,39.5,3,2.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2154347,0.1451612
1,6.2,0.0,00:00:05.4,00:06:43.2,1.24,00:00:00.0,0.00,42.5,4,1.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2154475,0.1451713
1,8.1,0.0,00:00:06.7,00:06:56.7,1.20,00:00:00.0,0.00,43.0,5,1.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2154628,0.1451819
1,10.0,0.0,00:00:08.4,00:06:43.2,1.24,00:00:00.0,0.00,43.5,6,1.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2154789,0.1451915
1,11.8,0.0,00:00:09.5,00:06:02.3,1.38,00:00:00.0,0.00,42.5,7,1.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2154946,0.1452012
1,13.8,0.0,00:00:10.9,00:05:37.8,1.48,00:00:00.0,0.00,45.0,8,2.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2155110,0.1452115
1,15.8,0.0,00:00:12.3,00:05:37.8,1.48,00:00:00.0,0.00,43.0,9,2.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2155283,0.1452206
1,18.0,0.0,00:00:13.7,00:05:28.9,1.52,00:00:00.0,0.00,42.5,10,2.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2155477,0.1452285
1,20.3,0.0,00:00:15.1,00:05:18.5,1.57,00:00:00.0,0.00,42.5,11,2.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2155682,0.1452353
