Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-6041M,,,Name:,Charalampos' SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,06/01/2024 13:26,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,6041.8,0.0,02:24:53.9,00:12:04.6,0.69,00:00:00.0,0.00,42.0,632,9.6,0.0,---,---,---,---,---,---,---,---,---,---,51.4923922,-0.6576370


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,6041.8,0.0,02:24:53.9,00:12:04.6,0.69,00:00:00.0,0.00,42.0,632,9.6,0.0,---,---,---,---,---,---,---,---,---,---,51.4923922,-0.6576370



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.0,0.0,00:00:03.1,00:00:00.0,0.00,00:00:00.0,0.00,19.5,1,0.0,0.0,---,---,---,---,---,---,---,---,---,---,51.4923922,-0.6576370
1,129.5,0.0,00:00:06.1,00:00:00.0,0.00,00:00:00.0,0.00,20.0,2,129.6,0.0,---,---,---,---,---,---,---,---,---,---,51.4924018,-0.6576938
1,131.8,0.0,00:00:08.9,00:00:00.0,0.00,00:00:00.0,0.00,21.0,3,2.2,0.0,---,---,---,---,---,---,---,---,---,---,51.4924783,-0.6577997
1,132.7,0.0,00:00:11.6,00:00:00.0,0.00,00:00:00.0,0.00,21.0,4,1.0,0.0,---,---,---,---,---,---,---,---,---,---,51.4924604,-0.6578777
1,195.4,0.0,00:00:14.5,00:00:00.0,0.00,00:00:00.0,0.00,21.5,5,62.6,0.0,---,---,---,---,---,---,---,---,---,---,51.4924839,-0.6579712
