Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-4254M,,,Name:,SpdCoach 2668852,,,Firmware:,---,,,Boat ID:,---
Start Time:,11/11/2023 14:55,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2668852,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4254.9,0.0,00:24:32.7,00:02:53.6,2.88,00:00:00.0,0.00,26.0,577,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2348300,0.1719524


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4254.9,0.0,00:24:32.7,00:02:53.6,2.88,00:00:00.0,0.00,26.0,577,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2348300,0.1719524



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.2,0.0,00:00:02.3,00:11:44.2,0.71,00:00:00.0,0.00,26.0,1,1.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2348300,0.1719524
1,4.0,0.0,00:00:03.8,00:07:51.7,1.06,00:00:00.0,0.00,30.0,2,2.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2348107,0.1719283
1,11.0,0.0,00:00:07.4,00:04:47.4,1.74,00:00:00.0,0.00,16.5,3,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2347586,0.1718687
1,18.5,0.0,00:00:10.6,00:04:02.7,2.06,00:00:00.0,0.00,18.5,4,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2347012,0.1718125
1,26.7,0.0,00:00:13.8,00:03:31.0,2.37,00:00:00.0,0.00,18.5,5,8.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2346354,0.1717580
1,35.5,0.0,00:00:17.3,00:03:13.1,2.59,00:00:00.0,0.00,19.0,6,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2345631,0.1717062
1,44.0,0.0,00:00:20.3,00:03:02.5,2.74,00:00:00.0,0.00,18.5,7,8.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2344908,0.1716652
1,64.6,0.0,00:00:32.0,00:05:03.0,1.65,00:00:00.0,0.00,15.0,8,20.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2341701,0.1715698
1,68.6,0.0,00:00:35.6,00:10:49.3,0.77,00:00:00.0,0.00,17.5,9,4.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2341344,0.1715750
1,76.0,0.0,00:00:42.6,00:07:47.3,1.07,00:00:00.0,0.00,8.0,10,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2340679,0.1715670
1,81.3,0.0,00:00:46.3,00:06:33.7,1.27,00:00:00.0,0.00,16.0,11,5.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2340204,0.1715680
1,88.8,0.0,00:00:49.6,00:04:39.3,1.79,00:00:00.0,0.00,18.5,12,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2339531,0.1715650
1,97.0,0.0,00:00:52.8,00:03:32.8,2.35,00:00:00.0,0.00,18.5,13,8.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2338798,0.1715488
1,105.5,0.0,00:00:55.8,00:03:08.0,2.66,00:00:00.0,0.00,19.5,14,8.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2338052,0.1715289
1,114.0,0.0,00:00:58.8,00:02:57.9,2.81,00:00:00.0,0.00,20.0,15,8.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2337291,0.1715112
1,123.5,0.0,00:01:02.0,00:02:52.4,2.90,00:00:00.0,0.00,20.5,16,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2336449,0.1714941
1,132.6,0.0,00:01:05.0,00:02:48.4,2.97,00:00:00.0,0.00,19.0,17,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2335636,0.1714791
1,141.7,0.0,00:01:08.0,00:02:46.1,3.01,00:00:00.0,0.00,20.5,18,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2334819,0.1714651
1,149.8,0.0,00:01:10.6,00:02:43.4,3.06,00:00:00.0,0.00,22.0,19,8.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2334094,0.1714513
1,157.7,0.0,00:01:13.3,00:02:37.2,3.18,00:00:00.0,0.00,26.0,20,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2333392,0.1714356
1,165.2,0.0,00:01:15.2,00:02:32.4,3.28,00:00:00.0,0.00,28.0,21,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2332731,0.1714188
1,172.3,0.0,00:01:17.2,00:02:28.8,3.36,00:00:00.0,0.00,28.0,22,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2332101,0.1714015
1,179.0,0.0,00:01:19.3,00:02:23.7,3.48,00:00:00.0,0.00,29.0,23,6.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2331511,0.1713836
1,187.5,0.0,00:01:21.4,00:02:16.6,3.66,00:00:00.0,0.00,30.0,24,8.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2330760,0.1713593
1,194.8,0.0,00:01:23.4,00:02:15.5,3.69,00:00:00.0,0.00,30.0,25,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2330118,0.1713358
1,201.0,0.0,00:01:25.2,00:02:17.7,3.63,00:00:00.0,0.00,30.0,26,6.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2329576,0.1713170
1,209.5,0.0,00:01:27.4,00:02:15.5,3.69,00:00:00.0,0.00,30.0,27,8.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2328821,0.1712948
1,216.9,0.0,00:01:29.4,00:02:15.1,3.70,00:00:00.0,0.00,30.0,28,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2328168,0.1712774
1,223.2,0.0,00:01:31.3,00:02:15.9,3.68,00:00:00.0,0.00,30.0,29,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2327611,0.1712613
1,231.1,0.0,00:01:33.2,00:02:13.3,3.75,00:00:00.0,0.00,29.0,30,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2326912,0.1712394
1,238.4,0.0,00:01:35.2,00:02:14.8,3.71,00:00:00.0,0.00,31.5,31,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2326266,0.1712215
1,245.2,0.0,00:01:37.3,00:02:16.6,3.66,00:00:00.0,0.00,30.0,32,6.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2325658,0.1712069
1,252.9,0.0,00:01:39.2,00:02:14.8,3.71,00:00:00.0,0.00,30.0,33,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2324973,0.1711904
1,260.5,0.0,00:01:41.2,00:02:14.8,3.71,00:00:00.0,0.00,30.0,34,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2324304,0.1711748
1,267.5,0.0,00:01:43.3,00:02:15.1,3.70,00:00:00.0,0.00,31.5,35,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2323681,0.1711566
1,275.4,0.0,00:01:45.0,00:02:10.2,3.84,00:00:00.0,0.00,32.5,36,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2322970,0.1711507
