Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Name:,JustGo-2860M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---,,,,,,,,,,
Start Time:,07/20/2023 20:57,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---,,,,,,,,,,
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---,,,,,,,,,,
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---,,,,,,,,,,
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---,,,,,,,,,,
,,,,Hardware Version:,Rev 11,,,,,,,,,,,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Session Summary:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2860.8,0,11:34.9,02:01.7,4.11,00:00.0,0,31,297,9.6,0,---,---,---,---,---,---,---,---,---,---,52.2317159,0.170906
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval Summaries:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2860.8,0,11:34.9,02:01.7,4.11,00:00.0,0,31,297,9.6,0,---,---,---,---,---,---,---,---,---,---,52.2317159,0.170906
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.8,0,00:01.3,03:34.6,2.33,00:00.0,0,44.5,1,0.8,0,---,---,---,---,---,---,---,---,---,---,52.2317159,0.170906
1,2.7,0,00:01.9,06:18.8,1.32,00:00.0,0,93.5,2,1.9,0,---,---,---,---,---,---,---,---,---,---,52.2316989,0.1709022
1,7,0,00:03.3,03:31.0,2.37,00:00.0,0,43.5,3,4.3,0,---,---,---,---,---,---,---,---,---,---,52.2316603,0.1708947
1,12.2,0,00:04.7,02:44.5,3.04,00:00.0,0,46.5,4,5.2,0,---,---,---,---,---,---,---,---,---,---,52.231614,0.1708871
1,17.4,0,00:05.9,02:13.0,3.76,00:00.0,0,46.5,5,5.2,0,---,---,---,---,---,---,---,---,---,---,52.2315677,0.1708783
1,23.4,0,00:07.3,01:53.9,4.39,00:00.0,0,46,6,6,0,---,---,---,---,---,---,---,---,---,---,52.2315145,0.1708668
1,30.5,0,00:08.5,01:41.8,4.91,00:00.0,0,47,7,7.1,0,---,---,---,---,---,---,---,---,---,---,52.2314516,0.1708505
1,37.9,0,00:09.9,01:35.6,5.23,00:00.0,0,46.5,8,7.4,0,---,---,---,---,---,---,---,---,---,---,52.2313857,0.1708327
1,44.4,0,00:11.1,01:34.9,5.27,00:00.0,0,46.5,9,6.5,0,---,---,---,---,---,---,---,---,---,---,52.2313279,0.1708198
1,51.3,0,00:12.3,01:32.9,5.38,00:00.0,0,46.5,10,7,0,---,---,---,---,---,---,---,---,---,---,52.2312667,0.1707992
1,58.9,0,00:13.7,01:30.6,5.52,00:00.0,0,46.5,11,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2311999,0.1707794
1,65.7,0,00:14.9,01:30.3,5.54,00:00.0,0,46,12,6.8,0,---,---,---,---,---,---,---,---,---,---,52.2311395,0.1707611
1,72.5,0,00:16.3,01:30.1,5.55,00:00.0,0,46,13,6.8,0,---,---,---,---,---,---,---,---,---,---,52.2310798,0.1707397
1,80.4,0,00:17.5,01:26.8,5.76,00:00.0,0,46,14,7.9,0,---,---,---,---,---,---,---,---,---,---,52.2310103,0.1707168
1,88.7,0,00:18.9,01:25.0,5.88,00:00.0,0,45.5,15,8.3,0,---,---,---,---,---,---,---,---,---,---,52.230938,0.1706904
1,95.7,0,00:20.1,01:26.4,5.79,00:00.0,0,46,16,7,0,---,---,---,---,---,---,---,---,---,---,52.2308764,0.1706691
1,103.7,0,00:21.5,01:26.2,5.8,00:00.0,0,45.5,17,8,0,---,---,---,---,---,---,---,---,---,---,52.2308066,0.1706432
1,112,0,00:22.9,01:27.3,5.73,00:00.0,0,45.5,18,8.3,0,---,---,---,---,---,---,---,---,---,---,52.2307354,0.1706073
1,119.2,0,00:24.1,01:25.6,5.84,00:00.0,0,45,19,7.2,0,---,---,---,---,---,---,---,---,---,---,52.2306725,0.1705797
1,126.1,0,00:25.4,01:25.0,5.88,00:00.0,0,44.5,20,6.9,0,---,---,---,---,---,---,---,---,---,---,52.2306117,0.170557
1,135.4,0,00:26.9,01:26.7,5.77,00:00.0,0,44.5,21,9.3,0,---,---,---,---,---,---,---,---,---,---,52.2305309,0.1705253
1,142.7,0,00:28.3,01:24.9,5.89,00:00.0,0,43.5,22,7.3,0,---,---,---,---,---,---,---,---,---,---,52.2304678,0.1704982
1,152.1,0,00:29.7,01:23.3,6,00:00.0,0,43.5,23,9.4,0,---,---,---,---,---,---,---,---,---,---,52.2303865,0.1704612
1,160.2,0,00:31.3,01:23.3,6,00:00.0,0,42.5,24,8.2,0,---,---,---,---,---,---,---,---,---,---,52.230315,0.1704342
1,168,0,00:32.5,01:25.5,5.85,00:00.0,0,43,25,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2302468,0.1704117
1,176,0,00:33.9,01:27.1,5.74,00:00.0,0,41.5,26,8.1,0,---,---,---,---,---,---,---,---,---,---,52.230176,0.1703867
1,184.2,0,00:35.3,01:27.6,5.71,00:00.0,0,42.5,27,8.1,0,---,---,---,---,---,---,---,---,---,---,52.2301046,0.1703609
1,191.8,0,00:36.7,01:27.6,5.71,00:00.0,0,41.5,28,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2300372,0.1703406
1,199.5,0,00:38.1,01:29.9,5.56,00:00.0,0,42,29,7.7,0,---,---,---,---,---,---,---,---,---,---,52.2299696,0.1703186
1,207.1,0,00:39.5,01:31.6,5.46,00:00.0,0,42,30,7.7,0,---,---,---,---,---,---,---,---,---,---,52.2299016,0.1703004
1,214.9,0,00:40.9,01:31.4,5.47,00:00.0,0,41.5,31,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2298327,0.1702811
1,222.6,0,00:42.3,01:31.4,5.47,00:00.0,0,42,32,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2297654,0.1702601
1,231.2,0,00:43.9,01:31.6,5.46,00:00.0,0,42,33,8.6,0,---,---,---,---,---,---,---,---,---,---,52.2296888,0.1702422
1,238.6,0,00:45.3,01:32.8,5.39,00:00.0,0,42,34,7.5,0,---,---,---,---,---,---,---,---,---,---,52.2296219,0.1702321
1,246.1,0,00:46.7,01:32.9,5.38,00:00.0,0,42.5,35,7.4,0,---,---,---,---,---,---,---,---,---,---,52.2295553,0.1702255
1,253.6,0,00:48.1,01:32.9,5.38,00:00.0,0,42,36,7.5,0,---,---,---,---,---,---,---,---,---,---,52.2294877,0.1702189
1,261,0,00:49.5,01:32.8,5.39,00:00.0,0,42,37,7.4,0,---,---,---,---,---,---,---,---,---,---,52.2294214,0.1702054
1,269.5,0,00:51.1,01:32.6,5.4,00:00.0,0,41,38,8.5,0,---,---,---,---,---,---,---,---,---,---,52.2293456,0.1701965
1,276.3,0,00:52.4,01:31.6,5.46,00:00.0,0,41,39,6.8,0,---,---,---,---,---,---,---,---,---,---,52.2292844,0.1701887
1,284.7,0,00:53.9,01:30.3,5.54,00:00.0,0,41,40,8.4,0,---,---,---,---,---,---,---,---,---,---,52.2292089,0.1701849
1,291.4,0,00:55.3,01:31.6,5.46,00:00.0,0,41.5,41,6.7,0,---,---,---,---,---,---,---,---,---,---,52.2291492,0.170175
