Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-8668M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,11/18/2023 08:45,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8668.2,0.0,00:41:58.3,00:02:25.3,3.44,00:00:00.0,0.00,25.5,794,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2194243,0.1459059


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8668.2,0.0,00:41:58.3,00:02:25.3,3.44,00:00:00.0,0.00,25.5,794,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2194243,0.1459059



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.0,0.0,00:00:06.2,00:00:00.0,0.00,00:00:00.0,0.00,9.5,1,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2194243,0.1459059
1,7.8,0.0,00:00:07.8,00:00:00.0,0.00,00:00:00.0,0.00,60.5,2,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2193777,0.1458278
1,28.8,0.0,00:00:17.0,00:04:30.3,1.85,00:00:00.0,0.00,32.0,3,21.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2161867,0.1453938
1,31.7,0.0,00:00:18.8,00:04:28.8,1.86,00:00:00.0,0.00,32.0,4,3.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2162135,0.1453939
1,36.0,0.0,00:00:20.4,00:04:08.8,2.01,00:00:00.0,0.00,35.0,5,4.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2162521,0.1453909
1,40.6,0.0,00:00:22.2,00:03:54.7,2.13,00:00:00.0,0.00,33.5,6,4.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2162928,0.1453786
1,45.8,0.0,00:00:24.0,00:03:36.4,2.31,00:00:00.0,0.00,33.5,7,5.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2163391,0.1453699
1,49.8,0.0,00:00:25.8,00:03:30.1,2.38,00:00:00.0,0.00,34.0,8,4.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2163744,0.1453750
1,54.6,0.0,00:00:27.7,00:03:42.2,2.25,00:00:00.0,0.00,34.5,9,4.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2164179,0.1453680
1,59.7,0.0,00:00:29.4,00:03:25.8,2.43,00:00:00.0,0.00,35.0,10,5.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2164623,0.1453388
1,64.7,0.0,00:00:31.0,00:03:16.9,2.54,00:00:00.0,0.00,33.5,11,4.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2165066,0.1453409
1,70.1,0.0,00:00:32.8,00:03:27.5,2.41,00:00:00.0,0.00,35.0,12,5.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2165549,0.1453599
1,76.4,0.0,00:00:34.6,00:03:09.4,2.64,00:00:00.0,0.00,33.5,13,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2166093,0.1453857
1,82.4,0.0,00:00:36.6,00:03:00.5,2.77,00:00:00.0,0.00,35.0,14,6.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2166602,0.1454130
1,87.5,0.0,00:00:38.0,00:03:00.5,2.77,00:00:00.0,0.00,32.5,15,5.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2167043,0.1454328
1,93.2,0.0,00:00:39.9,00:02:54.8,2.86,00:00:00.0,0.00,33.0,16,5.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2167543,0.1454522
1,98.6,0.0,00:00:41.6,00:02:53.6,2.88,00:00:00.0,0.00,33.5,17,5.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2168014,0.1454722
1,104.5,0.0,00:00:43.4,00:02:54.8,2.86,00:00:00.0,0.00,33.5,18,5.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2168526,0.1454936
1,110.7,0.0,00:00:45.6,00:02:48.9,2.96,00:00:00.0,0.00,32.0,19,6.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2169052,0.1455203
1,115.7,0.0,00:00:47.2,00:02:45.6,3.02,00:00:00.0,0.00,33.5,20,5.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2169487,0.1455403
1,121.5,0.0,00:00:49.0,00:02:48.4,2.97,00:00:00.0,0.00,33.0,21,5.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2169959,0.1455770
1,128.2,0.0,00:00:50.8,00:02:57.3,2.82,00:00:00.0,0.00,33.5,22,6.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2170523,0.1456119
1,135.1,0.0,00:00:52.6,00:02:59.9,2.78,00:00:00.0,0.00,33.5,23,6.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2171091,0.1456524
1,141.4,0.0,00:00:54.7,00:02:53.6,2.88,00:00:00.0,0.00,32.0,24,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2171576,0.1457019
