Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3396M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,12/12/2023 08:17,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3396.4,0.0,00:15:22.5,00:02:15.9,3.68,00:00:00.0,0.00,21.0,314,10.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2357683,0.1731056


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3396.4,0.0,00:15:22.5,00:02:15.9,3.68,00:00:00.0,0.00,21.0,314,10.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2357683,0.1731056



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.2,0.0,00:00:02.5,00:18:31.1,0.45,00:00:00.0,0.00,24.0,1,1.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2357683,0.1731056
1,11.3,0.0,00:00:12.0,00:09:34.7,0.87,00:00:00.0,0.00,26.5,2,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2356547,0.1729942
1,13.1,0.0,00:00:13.2,00:06:53.2,1.21,00:00:00.0,0.00,32.0,3,1.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2356414,0.1729792
1,21.7,0.0,00:00:16.4,00:03:53.6,2.14,00:00:00.0,0.00,18.5,4,8.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2355792,0.1729046
1,30.9,0.0,00:00:19.4,00:03:11.6,2.61,00:00:00.0,0.00,20.0,5,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2355161,0.1728182
1,40.1,0.0,00:00:22.3,00:02:43.4,3.06,00:00:00.0,0.00,21.0,6,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2354518,0.1727325
1,49.8,0.0,00:00:25.1,00:02:27.5,3.39,00:00:00.0,0.00,21.5,7,9.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2353844,0.1726438
1,60.8,0.0,00:00:28.1,00:02:21.6,3.53,00:00:00.0,0.00,21.0,8,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2353056,0.1725458
1,72.5,0.0,00:00:31.1,00:02:13.3,3.75,00:00:00.0,0.00,21.0,9,11.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2352234,0.1724386
1,83.0,0.0,00:00:33.6,00:02:08.9,3.88,00:00:00.0,0.00,21.0,10,10.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2351505,0.1723401
1,93.7,0.0,00:00:36.4,00:02:13.3,3.75,00:00:00.0,0.00,21.0,11,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2350735,0.1722466
1,105.3,0.0,00:00:39.5,00:02:15.1,3.70,00:00:00.0,0.00,20.5,12,11.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2349880,0.1721485
1,116.4,0.0,00:00:42.2,00:02:13.7,3.74,00:00:00.0,0.00,21.0,13,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2349064,0.1720563
1,128.2,0.0,00:00:45.2,00:02:10.5,3.83,00:00:00.0,0.00,20.5,14,11.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2348205,0.1719537
1,139.6,0.0,00:00:48.0,00:02:09.2,3.87,00:00:00.0,0.00,21.0,15,11.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2347358,0.1718599
1,150.7,0.0,00:00:50.8,00:02:08.9,3.88,00:00:00.0,0.00,21.0,16,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2346505,0.1717774
1,161.6,0.0,00:00:53.6,00:02:08.9,3.88,00:00:00.0,0.00,21.0,17,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2345643,0.1717018
1,173.2,0.0,00:00:56.4,00:02:09.9,3.85,00:00:00.0,0.00,21.5,18,11.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2344676,0.1716361
1,183.6,0.0,00:00:59.5,00:02:13.3,3.75,00:00:00.0,0.00,21.0,19,10.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2343801,0.1715830
1,194.7,0.0,00:01:02.2,00:02:18.1,3.62,00:00:00.0,0.00,21.5,20,11.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2342827,0.1715476
1,205.9,0.0,00:01:05.1,00:02:13.3,3.75,00:00:00.0,0.00,21.0,21,11.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2341839,0.1715204
1,216.6,0.0,00:01:07.8,00:02:10.2,3.84,00:00:00.0,0.00,21.0,22,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2340879,0.1715065
1,227.6,0.0,00:01:10.6,00:02:11.9,3.79,00:00:00.0,0.00,21.0,23,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2339893,0.1714964
1,238.9,0.0,00:01:13.5,00:02:09.5,3.86,00:00:00.0,0.00,21.5,24,11.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2338876,0.1714871
1,250.1,0.0,00:01:16.3,00:02:07.9,3.91,00:00:00.0,0.00,21.0,25,11.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2337882,0.1714708
1,260.6,0.0,00:01:19.1,00:02:08.5,3.89,00:00:00.0,0.00,21.5,26,10.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2336938,0.1714595
1,272.4,0.0,00:01:22.1,00:02:08.5,3.89,00:00:00.0,0.00,21.0,27,11.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2335882,0.1714451
1,283.4,0.0,00:01:24.7,00:02:07.6,3.92,00:00:00.0,0.00,21.5,28,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2334904,0.1714234
1,296.0,0.0,00:01:27.6,00:02:06.6,3.95,00:00:00.0,0.00,21.0,29,12.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2333782,0.1713985
1,308.0,0.0,00:01:30.4,00:02:03.2,4.06,00:00:00.0,0.00,20.5,30,12.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2332712,0.1713760
1,320.2,0.0,00:01:33.4,00:02:02.2,4.09,00:00:00.0,0.00,20.5,31,12.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2331624,0.1713513
1,332.2,0.0,00:01:36.2,00:02:02.8,4.07,00:00:00.0,0.00,21.0,32,12.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2330564,0.1713189
1,344.1,0.0,00:01:39.2,00:02:04.1,4.03,00:00:00.0,0.00,20.5,33,11.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2329508,0.1712925
1,355.8,0.0,00:01:42.0,00:02:08.2,3.90,00:00:00.0,0.00,21.0,34,11.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2328482,0.1712590
1,367.0,0.0,00:01:44.9,00:02:07.6,3.92,00:00:00.0,0.00,21.0,35,11.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2327493,0.1712233
1,379.2,0.0,00:01:47.9,00:02:08.5,3.89,00:00:00.0,0.00,20.5,36,12.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2326424,0.1711864
1,390.3,0.0,00:01:50.7,00:02:11.2,3.81,00:00:00.0,0.00,20.5,37,11.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2325434,0.1711624
1,400.8,0.0,00:01:53.6,00:02:19.3,3.59,00:00:00.0,0.00,20.5,38,10.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2324506,0.1711427
1,412.4,0.0,00:01:56.4,00:02:18.1,3.62,00:00:00.0,0.00,21.5,39,11.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2323467,0.1711320
1,422.4,0.0,00:01:59.4,00:02:07.6,3.92,00:00:00.0,0.00,20.5,40,10.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2322617,0.1711312
