Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-5847M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,12/16/2023 11:10,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5847.6,0.0,00:32:28.7,00:02:46.7,3.00,00:00:00.0,0.00,26.5,657,8.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2187712,0.1516370


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5847.6,0.0,00:32:28.7,00:02:46.7,3.00,00:00:00.0,0.00,26.5,657,8.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2187712,0.1516370



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7.5,0.0,00:00:04.1,00:00:00.0,0.00,00:00:00.0,0.00,14.5,1,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2187712,0.1516370
1,17.5,0.0,00:00:07.5,00:03:37.4,2.30,00:00:00.0,0.00,18.0,2,10.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2187848,0.1517820
1,28.4,0.0,00:00:11.0,00:02:43.4,3.06,00:00:00.0,0.00,18.0,3,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2188043,0.1519386
1,39.3,0.0,00:00:14.0,00:02:24.5,3.46,00:00:00.0,0.00,19.0,4,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2188306,0.1520922
1,51.4,0.0,00:00:17.2,00:02:15.9,3.68,00:00:00.0,0.00,19.0,5,12.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2188686,0.1522596
1,63.2,0.0,00:00:20.4,00:02:12.3,3.78,00:00:00.0,0.00,19.0,6,11.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2189101,0.1524190
1,75.3,0.0,00:00:23.5,00:02:10.9,3.82,00:00:00.0,0.00,19.0,7,12.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2189537,0.1525815
1,86.7,0.0,00:00:26.6,00:02:10.2,3.84,00:00:00.0,0.00,19.5,8,11.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2189956,0.1527341
