Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-5940M,,,Name:,Gavin's SpdCoach ,,,Firmware:,---,,,Boat ID:,---
Start Time:,11/05/2023 09:45,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2270293,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5940.5,0.0,00:26:28.0,00:02:13.7,3.74,00:00:00.0,0.00,29.5,684,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2200291,0.1557159


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5940.5,0.0,00:26:28.0,00:02:13.7,3.74,00:00:00.0,0.00,29.5,684,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2200291,0.1557159



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7.8,0.0,00:00:04.3,00:07:56.2,1.05,00:00:00.0,0.00,14.0,1,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2200291,0.1557159
1,18.8,0.0,00:00:07.4,00:03:13.1,2.59,00:00:00.0,0.00,20.0,2,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2200538,0.1558716
1,28.8,0.0,00:00:10.1,00:02:13.3,3.75,00:00:00.0,0.00,24.5,3,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2200770,0.1560145
1,39.0,0.0,00:00:12.0,00:01:54.4,4.37,00:00:00.0,0.00,29.0,4,10.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2201023,0.1561582
1,48.9,0.0,00:00:14.1,00:01:45.5,4.74,00:00:00.0,0.00,30.0,5,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2201249,0.1562978
1,57.6,0.0,00:00:16.1,00:01:40.8,4.96,00:00:00.0,0.00,32.5,6,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2201342,0.1564254
1,64.0,0.0,00:00:17.6,00:01:43.3,4.84,00:00:00.0,0.00,33.0,7,6.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2201373,0.1565189
1,69.9,0.0,00:00:19.3,00:02:01.4,4.12,00:00:00.0,0.00,34.0,8,5.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2201496,0.1566025
1,77.9,0.0,00:00:21.3,00:02:15.9,3.68,00:00:00.0,0.00,34.0,9,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2201570,0.1567190
1,85.9,0.0,00:00:22.8,00:02:06.9,3.94,00:00:00.0,0.00,34.0,10,8.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2201640,0.1568366
1,96.7,0.0,00:00:24.6,00:01:49.4,4.57,00:00:00.0,0.00,32.5,11,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2201786,0.1569921
1,108.1,0.0,00:00:26.4,00:01:34.5,5.29,00:00:00.0,0.00,32.5,12,11.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2201958,0.1571576
1,119.3,0.0,00:00:28.3,00:01:29.3,5.60,00:00:00.0,0.00,34.0,13,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2202120,0.1573201
1,130.2,0.0,00:00:30.0,00:01:28.5,5.65,00:00:00.0,0.00,32.5,14,10.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2202275,0.1574769
1,141.7,0.0,00:00:32.0,00:01:30.3,5.54,00:00:00.0,0.00,32.5,15,11.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2202440,0.1576440
1,151.3,0.0,00:00:33.7,00:01:29.9,5.56,00:00:00.0,0.00,34.0,16,9.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2202578,0.1577833
1,162.6,0.0,00:00:35.6,00:01:28.5,5.65,00:00:00.0,0.00,32.5,17,11.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2202722,0.1579475
1,172.1,0.0,00:00:37.3,00:01:29.4,5.59,00:00:00.0,0.00,32.5,18,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2202847,0.1580845
1,182.9,0.0,00:00:39.2,00:01:29.3,5.60,00:00:00.0,0.00,32.5,19,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2203008,0.1582415
1,193.2,0.0,00:00:41.0,00:01:29.6,5.58,00:00:00.0,0.00,34.0,20,10.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2203187,0.1583884
1,203.3,0.0,00:00:43.1,00:01:29.8,5.57,00:00:00.0,0.00,32.5,21,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2203370,0.1585335
1,213.2,0.0,00:00:44.6,00:01:29.9,5.56,00:00:00.0,0.00,32.5,22,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2203534,0.1586765
1,223.1,0.0,00:00:46.4,00:01:31.6,5.46,00:00:00.0,0.00,32.5,23,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2203713,0.1588190
1,233.2,0.0,00:00:48.2,00:01:31.9,5.44,00:00:00.0,0.00,32.5,24,10.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2203901,0.1589639
1,243.9,0.0,00:00:50.2,00:01:31.9,5.44,00:00:00.0,0.00,32.5,25,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2204090,0.1591171
1,252.9,0.0,00:00:52.1,00:01:32.1,5.43,00:00:00.0,0.00,32.5,26,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2204274,0.1592469
1,263.7,0.0,00:00:53.8,00:01:30.4,5.53,00:00:00.0,0.00,32.5,27,10.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2204508,0.1593999
1,273.2,0.0,00:00:55.6,00:01:30.9,5.50,00:00:00.0,0.00,32.5,28,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2204724,0.1595349
1,283.2,0.0,00:00:57.4,00:01:32.9,5.38,00:00:00.0,0.00,32.5,29,10.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2204970,0.1596756
1,292.7,0.0,00:00:59.2,00:01:31.6,5.46,00:00:00.0,0.00,32.5,30,9.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2205190,0.1598111
1,301.9,0.0,00:01:01.1,00:01:31.4,5.47,00:00:00.0,0.00,33.0,31,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2205385,0.1599407
1,312.3,0.0,00:01:02.8,00:01:31.1,5.49,00:00:00.0,0.00,34.0,32,10.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2205620,0.1600892
1,322.0,0.0,00:01:04.6,00:01:31.7,5.45,00:00:00.0,0.00,32.5,33,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2205867,0.1602257
1,331.6,0.0,00:01:06.5,00:01:33.5,5.35,00:00:00.0,0.00,32.5,34,9.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2206135,0.1603597
