Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-5109M,,,Name:,Gavin's SpdCoach ,,,Firmware:,---,,,Boat ID:,---
Start Time:,07/16/2024 20:33,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2270293,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5109.5,0.0,00:20:01.6,00:01:57.6,4.25,00:00:00.0,0.00,30.0,503,10.2,0.0,160.0,---,---,---,---,---,---,---,---,---,52.2178384,0.1475983


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5109.5,0.0,00:20:01.6,00:01:57.6,4.25,00:00:00.0,0.00,30.0,503,10.2,0.0,158.0,---,---,---,---,---,---,---,---,---,52.2178384,0.1475983



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2.4,0.0,00:00:02.8,00:19:22.8,0.43,00:00:00.0,0.00,21.5,1,2.4,0.0,80,---,---,---,---,---,---,---,---,---,52.2178384,0.1475983
1,5.8,0.0,00:00:03.9,00:05:08.6,1.62,00:00:00.0,0.00,30.0,2,3.4,0.0,81,---,---,---,---,---,---,---,---,---,52.2178440,0.1476467
1,17.6,0.0,00:00:07.9,00:03:08.7,2.65,00:00:00.0,0.00,16.5,3,11.8,0.0,101,---,---,---,---,---,---,---,---,---,52.2178680,0.1478154
1,30.0,0.0,00:00:11.3,00:02:37.2,3.18,00:00:00.0,0.00,17.5,4,12.5,0.0,111,---,---,---,---,---,---,---,---,---,52.2179042,0.1479883
1,42.7,0.0,00:00:14.8,00:02:15.1,3.70,00:00:00.0,0.00,18.5,5,12.7,0.0,117,---,---,---,---,---,---,---,---,---,52.2179406,0.1481646
1,55.6,0.0,00:00:17.8,00:02:03.5,4.05,00:00:00.0,0.00,18.5,6,12.9,0.0,125,---,---,---,---,---,---,---,---,---,52.2179773,0.1483441
1,89.6,0.0,00:00:30.4,00:03:14.6,2.57,00:00:00.0,0.00,12.5,7,33.9,0.0,84,---,---,---,---,---,---,---,---,---,52.2181148,0.1489923
1,96.0,0.0,00:00:34.7,00:08:20.0,1.00,00:00:00.0,0.00,30.0,8,6.4,0.0,83,---,---,---,---,---,---,---,---,---,52.2181539,0.1490610
1,101.1,0.0,00:00:37.7,00:05:44.8,1.45,00:00:00.0,0.00,11.5,9,5.2,0.0,80,---,---,---,---,---,---,---,---,---,52.2181848,0.1491166
1,115.6,0.0,00:00:48.2,00:06:43.2,1.24,00:00:00.0,0.00,21.5,10,14.5,0.0,70,---,---,---,---,---,---,---,---,---,52.2183781,0.1497240
1,119.3,0.0,00:00:49.8,00:05:12.5,1.60,00:00:00.0,0.00,30.0,11,3.8,0.0,74,---,---,---,---,---,---,---,---,---,52.2183908,0.1497753
1,130.1,0.0,00:00:53.5,00:03:10.1,2.63,00:00:00.0,0.00,16.5,12,10.7,0.0,97,---,---,---,---,---,---,---,---,---,52.2184299,0.1499188
1,143.3,0.0,00:00:57.0,00:02:34.3,3.24,00:00:00.0,0.00,17.5,13,13.3,0.0,107,---,---,---,---,---,---,---,---,---,52.2184783,0.1500963
1,156.7,0.0,00:01:00.2,00:02:09.5,3.86,00:00:00.0,0.00,19.0,14,13.4,0.0,114,---,---,---,---,---,---,---,---,---,52.2185273,0.1502751
1,170.6,0.0,00:01:03.4,00:01:59.0,4.20,00:00:00.0,0.00,19.0,15,14.0,0.0,123,---,---,---,---,---,---,---,---,---,52.2185748,0.1504645
1,204.9,0.0,00:01:13.2,00:02:23.3,3.49,00:00:00.0,0.00,31.5,16,34.3,0.0,123,---,---,---,---,---,---,---,---,---,52.2187110,0.1511864
1,209.8,0.0,00:01:14.8,00:02:42.3,3.08,00:00:00.0,0.00,32.5,17,4.8,0.0,123,---,---,---,---,---,---,---,---,---,52.2187200,0.1512561
1,223.8,0.0,00:01:18.3,00:02:17.7,3.63,00:00:00.0,0.00,17.0,18,14.0,0.0,126,---,---,---,---,---,---,---,---,---,52.2187469,0.1514564
1,236.9,0.0,00:01:21.6,00:02:10.5,3.83,00:00:00.0,0.00,17.5,19,13.1,0.0,128,---,---,---,---,---,---,---,---,---,52.2187767,0.1516421
1,251.0,0.0,00:01:25.0,00:02:03.5,4.05,00:00:00.0,0.00,18.0,20,14.1,0.0,131,---,---,---,---,---,---,---,---,---,52.2188083,0.1518426
1,265.2,0.0,00:01:28.2,00:01:57.6,4.25,00:00:00.0,0.00,18.5,21,14.2,0.0,133,---,---,---,---,---,---,---,---,---,52.2188438,0.1520429
1,280.0,0.0,00:01:31.6,00:01:54.4,4.37,00:00:00.0,0.00,18.5,22,14.8,0.0,135,---,---,---,---,---,---,---,---,---,52.2188785,0.1522525
1,293.9,0.0,00:01:34.8,00:01:53.4,4.41,00:00:00.0,0.00,18.5,23,13.9,0.0,136,---,---,---,---,---,---,---,---,---,52.2189142,0.1524476
1,307.8,0.0,00:01:38.0,00:01:53.1,4.42,00:00:00.0,0.00,18.5,24,13.9,0.0,138,---,---,---,---,---,---,---,---,---,52.2189644,0.1526349
