Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-11297M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,09/26/2023 06:18,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.21,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11297.9,0.0,01:23:01.5,00:03:41.2,2.26,00:00:00.0,0.00,21.0,1030,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2153178,0.1442144


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11297.9,0.0,01:23:01.5,00:03:41.2,2.26,00:00:00.0,0.00,21.0,1030,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2153178,0.1442144



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.1,0.0,00:00:01.5,04:37:46.7,0.03,00:00:00.0,0.00,41.0,1,0.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2153178,0.1442144
1,14.0,0.0,00:00:21.6,00:09:41.4,0.86,00:00:00.0,0.00,8.5,2,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2151992,0.1442732
1,14.2,0.0,00:00:23.2,00:09:55.2,0.84,00:00:00.0,0.00,41.5,3,0.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2152028,0.1442953
1,14.3,0.0,00:00:23.6,00:10:32.9,0.79,00:00:00.0,0.00,49.5,4,0.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2152029,0.1442995
1,14.6,0.0,00:00:24.4,00:11:24.9,0.73,00:00:00.0,0.00,90.0,5,0.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2152059,0.1443106
1,14.7,0.0,00:00:25.0,00:11:24.9,0.73,00:00:00.0,0.00,101.5,6,0.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2152084,0.1443167
1,14.7,0.0,00:00:25.5,00:11:34.4,0.72,00:00:00.0,0.00,106.5,7,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152115,0.1443189
1,14.7,0.0,00:00:26.6,00:16:20.4,0.51,00:00:00.0,0.00,51.0,8,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152175,0.1443149
1,14.7,0.0,00:00:27.2,00:23:08.9,0.36,00:00:00.0,0.00,103.0,9,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152170,0.1443163
1,14.7,0.0,00:00:28.5,00:18:07.0,0.46,00:00:00.0,0.00,55.5,10,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152168,0.1443207
1,14.7,0.0,00:00:29.4,00:17:43.8,0.47,00:00:00.0,0.00,54.0,11,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152225,0.1443235
1,14.7,0.0,00:00:31.5,00:21:22.1,0.39,00:00:00.0,0.00,34.5,12,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152241,0.1443261
1,15.1,0.0,00:00:32.8,00:27:46.7,0.30,00:00:00.0,0.00,49.5,13,0.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2152299,0.1443343
1,15.4,0.0,00:00:33.6,00:21:55.8,0.38,00:00:00.0,0.00,49.5,14,0.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2152282,0.1443388
1,16.0,0.0,00:00:35.6,00:17:21.7,0.48,00:00:00.0,0.00,46.5,15,0.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2152190,0.1443457
1,17.4,0.0,00:00:38.8,00:21:22.1,0.39,00:00:00.0,0.00,15.0,16,1.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2152111,0.1443620
1,17.6,0.0,00:00:39.6,00:34:43.3,0.24,00:00:00.0,0.00,83.0,17,0.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2152103,0.1443653
1,18.0,0.0,00:00:41.2,01:32:35.6,0.09,00:00:00.0,0.00,38.5,18,0.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2152054,0.1443691
1,30.1,0.0,00:01:23.1,00:20:50.0,0.40,00:00:00.0,0.00,26.5,19,12.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2151580,0.1444600
1,30.1,0.0,00:01:24.0,00:09:34.7,0.87,00:00:00.0,0.00,114.5,20,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2151591,0.1444751
1,30.1,0.0,00:01:26.2,00:08:15.0,1.01,00:00:00.0,0.00,107.5,21,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2151588,0.1444848
1,30.1,0.0,00:01:32.2,00:13:53.3,0.60,00:00:00.0,0.00,23.5,22,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2151605,0.1444864
1,32.9,0.0,00:01:51.0,00:41:40.0,0.20,00:00:00.0,0.00,58.5,23,2.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2150855,0.1444317
1,33.4,0.0,00:01:52.0,00:22:31.4,0.37,00:00:00.0,0.00,31.0,24,0.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2150820,0.1444356
1,33.7,0.0,00:01:52.7,00:13:53.3,0.60,00:00:00.0,0.00,103.0,25,0.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2150785,0.1444358
1,33.8,0.0,00:01:53.6,00:11:44.2,0.71,00:00:00.0,0.00,105.0,26,0.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2150793,0.1444463
1,34.7,0.0,00:01:55.5,00:10:25.0,0.80,00:00:00.0,0.00,62.0,27,0.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2150721,0.1444533
1,35.2,0.0,00:01:56.2,00:11:06.7,0.75,00:00:00.0,0.00,83.0,28,0.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2150687,0.1444564
1,35.5,0.0,00:01:57.4,00:14:37.2,0.57,00:00:00.0,0.00,40.5,29,0.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2150687,0.1444625
1,35.5,0.0,00:01:58.5,00:16:20.4,0.51,00:00:00.0,0.00,55.5,30,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2150708,0.1444631
1,35.5,0.0,00:02:00.6,00:21:22.1,0.39,00:00:00.0,0.00,31.0,31,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2150734,0.1444745
1,35.6,0.0,00:02:02.5,00:43:51.6,0.19,00:00:00.0,0.00,27.5,32,0.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2150771,0.1444858
1,55.6,0.0,00:05:25.5,00:15:43.4,0.53,00:00:00.0,0.00,12.0,33,19.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2151024,0.1447476
1,58.8,0.0,00:05:30.3,00:10:02.4,0.83,00:00:00.0,0.00,9.0,34,3.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2151135,0.1447920
1,63.7,0.0,00:05:33.7,00:09:15.6,0.90,00:00:00.0,0.00,24.0,35,4.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2151357,0.1448544
1,99.6,0.0,00:06:15.9,00:09:28.2,0.88,00:00:00.0,0.00,28.5,36,35.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2153666,0.1451917
1,101.9,0.0,00:06:17.3,00:06:15.9,1.33,00:00:00.0,0.00,29.0,37,2.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2153872,0.1452007
1,109.7,0.0,00:06:20.9,00:04:15.1,1.96,00:00:00.0,0.00,17.5,38,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2154552,0.1452290
1,118.8,0.0,00:06:24.5,00:03:42.2,2.25,00:00:00.0,0.00,16.5,39,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2155339,0.1452600
1,128.7,0.0,00:06:28.1,00:03:19.2,2.51,00:00:00.0,0.00,17.0,40,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2156183,0.1453064
1,137.9,0.0,00:06:31.5,00:03:07.3,2.67,00:00:00.0,0.00,16.5,41,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2156962,0.1453550
1,148.2,0.0,00:06:35.1,00:03:03.1,2.73,00:00:00.0,0.00,17.5,42,10.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2157846,0.1453994
