Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-10000M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,10/21/2023 10:48,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10000.4,0.0,00:51:32.3,00:02:34.8,3.23,00:00:00.0,0.00,26.5,1076,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.3992786,0.2885928


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10000.4,0.0,00:51:32.3,00:02:34.8,3.23,00:00:00.0,0.00,26.5,1076,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.3992786,0.2885928



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,13.5,0.0,00:00:03.2,00:02:00.5,4.15,00:00:00.0,0.00,18.5,1,13.5,0.0,---,---,---,---,---,---,---,---,---,---,52.3992786,0.2885928
1,26.4,0.0,00:00:06.2,00:01:58.2,4.23,00:00:00.0,0.00,19.0,2,12.9,0.0,---,---,---,---,---,---,---,---,---,---,52.3993058,0.2887772
1,39.8,0.0,00:00:09.3,00:01:56.3,4.30,00:00:00.0,0.00,18.5,3,13.5,0.0,---,---,---,---,---,---,---,---,---,---,52.3993369,0.2889690
1,54.5,0.0,00:00:12.6,00:01:55.5,4.33,00:00:00.0,0.00,19.0,4,14.7,0.0,---,---,---,---,---,---,---,---,---,---,52.3993690,0.2891783
1,68.3,0.0,00:00:15.8,00:01:56.0,4.31,00:00:00.0,0.00,18.0,5,13.8,0.0,---,---,---,---,---,---,---,---,---,---,52.3993962,0.2893766
1,82.2,0.0,00:00:19.0,00:01:56.0,4.31,00:00:00.0,0.00,18.5,6,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.3994198,0.2895780
1,96.1,0.0,00:00:22.2,00:01:56.6,4.29,00:00:00.0,0.00,18.5,7,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.3994465,0.2897778
1,110.1,0.0,00:00:25.4,00:01:56.6,4.29,00:00:00.0,0.00,19.0,8,14.0,0.0,---,---,---,---,---,---,---,---,---,---,52.3994742,0.2899784
1,123.9,0.0,00:00:28.6,00:01:56.0,4.31,00:00:00.0,0.00,18.5,9,13.8,0.0,---,---,---,---,---,---,---,---,---,---,52.3995006,0.2901776
1,137.7,0.0,00:00:31.8,00:01:56.0,4.31,00:00:00.0,0.00,19.0,10,13.8,0.0,---,---,---,---,---,---,---,---,---,---,52.3995297,0.2903745
1,151.4,0.0,00:00:35.0,00:01:56.6,4.29,00:00:00.0,0.00,19.0,11,13.6,0.0,---,---,---,---,---,---,---,---,---,---,52.3995597,0.2905693
