Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-1970M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,10/29/2023 17:21,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1970.4,0.0,00:08:58.7,00:02:17.0,3.65,00:00:00.0,0.00,32.5,280,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2577274,0.1990559


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1970.4,0.0,00:08:58.7,00:02:17.0,3.65,00:00:00.0,0.00,32.5,280,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2577274,0.1990559



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4.7,0.0,00:00:04.1,00:09:48.2,0.85,00:00:00.0,0.00,14.5,1,4.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2577274,0.1990559
1,12.3,0.0,00:00:07.5,00:05:03.0,1.65,00:00:00.0,0.00,19.0,2,7.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2576791,0.1989762
1,19.6,0.0,00:00:10.3,00:03:37.4,2.30,00:00:00.0,0.00,21.5,3,7.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2576278,0.1989121
1,27.3,0.0,00:00:12.9,00:03:05.9,2.69,00:00:00.0,0.00,22.5,4,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2575748,0.1988382
1,34.3,0.0,00:00:14.9,00:02:45.0,3.03,00:00:00.0,0.00,28.5,5,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2575245,0.1987765
1,41.5,0.0,00:00:16.7,00:02:24.1,3.47,00:00:00.0,0.00,32.5,6,7.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2574738,0.1987117
1,49.1,0.0,00:00:18.5,00:02:07.2,3.93,00:00:00.0,0.00,36.5,7,7.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2574190,0.1986446
1,55.6,0.0,00:00:20.1,00:01:58.2,4.23,00:00:00.0,0.00,35.5,8,6.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2573722,0.1985867
1,63.8,0.0,00:00:21.7,00:01:49.2,4.58,00:00:00.0,0.00,35.5,9,8.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2573123,0.1985176
1,71.4,0.0,00:00:23.4,00:01:47.8,4.64,00:00:00.0,0.00,35.5,10,7.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2572553,0.1984573
