Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3183M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,11/11/2023 16:02,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3183.2,0.0,00:17:06.2,00:02:41.3,3.10,00:00:00.0,0.00,37.0,446,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2332369,0.1713991


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3183.2,0.0,00:17:06.2,00:02:41.3,3.10,00:00:00.0,0.00,37.0,446,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2332369,0.1713991



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.9,0.0,00:00:02.6,00:16:20.4,0.51,00:00:00.0,0.00,23.5,1,1.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2332369,0.1713991
1,4.0,0.0,00:00:03.6,00:05:28.9,1.52,00:00:00.0,0.00,41.5,2,2.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2332178,0.1713955
1,12.1,0.0,00:00:06.4,00:03:18.4,2.52,00:00:00.0,0.00,21.5,3,8.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2331461,0.1713778
1,19.6,0.0,00:00:08.4,00:02:38.7,3.15,00:00:00.0,0.00,28.5,4,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2330791,0.1713626
1,28.2,0.0,00:00:10.4,00:02:08.2,3.90,00:00:00.0,0.00,33.5,5,8.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2330030,0.1713411
1,36.8,0.0,00:00:12.2,00:01:53.6,4.40,00:00:00.0,0.00,32.5,6,8.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2329276,0.1713190
1,44.6,0.0,00:00:13.8,00:01:47.1,4.67,00:00:00.0,0.00,35.0,7,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2328583,0.1713012
1,53.4,0.0,00:00:15.6,00:01:44.8,4.77,00:00:00.0,0.00,35.5,8,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2327801,0.1712800
1,61.5,0.0,00:00:17.3,00:01:42.0,4.90,00:00:00.0,0.00,34.0,9,8.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2327089,0.1712561
1,70.6,0.0,00:00:19.0,00:01:38.0,5.10,00:00:00.0,0.00,35.5,10,9.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2326290,0.1712281
1,79.5,0.0,00:00:20.8,00:01:38.4,5.08,00:00:00.0,0.00,34.0,11,8.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2325509,0.1711998
1,86.9,0.0,00:00:22.6,00:01:43.5,4.83,00:00:00.0,0.00,35.5,12,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2324847,0.1711870
1,92.6,0.0,00:00:24.2,00:01:57.6,4.25,00:00:00.0,0.00,34.0,13,5.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2324339,0.1711815
1,104.3,0.0,00:00:26.2,00:01:58.8,4.21,00:00:00.0,0.00,34.0,14,11.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2323285,0.1711952
1,114.8,0.0,00:00:27.8,00:01:32.6,5.40,00:00:00.0,0.00,35.0,15,10.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2322366,0.1711687
1,123.3,0.0,00:00:29.4,00:01:26.5,5.78,00:00:00.0,0.00,34.0,16,8.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2321626,0.1711388
1,132.0,0.0,00:00:31.2,00:01:35.4,5.24,00:00:00.0,0.00,35.0,17,8.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2320865,0.1711169
1,140.5,0.0,00:00:33.0,00:01:39.2,5.04,00:00:00.0,0.00,34.0,18,8.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2320104,0.1711032
