Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-8954M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,12/09/2023 10:47,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8954.5,0.0,00:56:32.9,00:03:10.1,2.63,00:00:00.0,0.00,24.5,994,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152795,0.1449289


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8954.5,0.0,00:56:32.9,00:03:10.1,2.63,00:00:00.0,0.00,24.5,994,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2152795,0.1449289



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,7.7,0.0,00:00:03.6,00:07:51.7,1.06,00:00:00.0,0.00,16.5,1,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2152795,0.1449289
1,11.1,0.0,00:00:05.0,00:03:37.4,2.30,00:00:00.0,0.00,17.5,2,3.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2153017,0.1449622
1,20.8,0.0,00:00:08.6,00:03:13.8,2.58,00:00:00.0,0.00,17.0,3,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2153679,0.1450546
1,30.2,0.0,00:00:12.0,00:03:02.5,2.74,00:00:00.0,0.00,17.0,4,9.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2154377,0.1451330
1,94.0,0.0,00:01:08.2,00:08:57.6,0.93,00:00:00.0,0.00,41.5,5,63.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2159832,0.1453780
1,95.5,0.0,00:01:09.4,00:08:05.4,1.03,00:00:00.0,0.00,41.5,6,1.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2159960,0.1453776
