Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-29052M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/03/2024 15:45,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,29052.6,0.0,03:52:14.2,00:04:00.4,2.08,00:00:00.0,0.00,54.0,3233,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.5724509,-0.1495871


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,29052.6,0.0,03:52:14.2,00:04:00.4,2.08,00:00:00.0,0.00,54.0,3233,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.5724509,-0.1495871



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5.9,0.0,00:00:03.0,00:00:00.0,0.00,00:00:00.0,0.00,20.0,1,5.9,0.0,---,---,---,---,---,---,---,---,---,---,52.5724509,-0.1495871
1,13.7,0.0,00:00:05.1,00:03:13.8,2.58,00:00:00.0,0.00,20.5,2,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.5724278,-0.1496955
1,21.2,0.0,00:00:07.1,00:02:27.5,3.39,00:00:00.0,0.00,26.0,3,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.5724074,-0.1498003
1,28.0,0.0,00:00:09.0,00:02:12.3,3.78,00:00:00.0,0.00,35.0,4,6.9,0.0,---,---,---,---,---,---,---,---,---,---,52.5723879,-0.1498967
1,36.5,0.0,00:00:10.7,00:01:59.3,4.19,00:00:00.0,0.00,32.5,5,8.4,0.0,---,---,---,---,---,---,---,---,---,---,52.5723640,-0.1500151
1,44.4,0.0,00:00:12.5,00:01:53.6,4.40,00:00:00.0,0.00,34.0,6,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.5723435,-0.1501273
1,52.4,0.0,00:00:14.3,00:01:53.9,4.39,00:00:00.0,0.00,32.5,7,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.5723214,-0.1502394
1,61.3,0.0,00:00:16.3,00:01:53.1,4.42,00:00:00.0,0.00,34.0,8,9.0,0.0,---,---,---,---,---,---,---,---,---,---,52.5722949,-0.1503645
1,68.0,0.0,00:00:18.0,00:01:50.9,4.51,00:00:00.0,0.00,32.5,9,6.6,0.0,---,---,---,---,---,---,---,---,---,---,52.5722763,-0.1504575
1,77.6,0.0,00:00:19.9,00:01:48.0,4.63,00:00:00.0,0.00,32.5,10,9.6,0.0,---,---,---,---,---,---,---,---,---,---,52.5722510,-0.1505938
1,85.7,0.0,00:00:21.7,00:01:49.4,4.57,00:00:00.0,0.00,34.0,11,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.5722302,-0.1507077
1,93.7,0.0,00:00:23.5,00:01:50.4,4.53,00:00:00.0,0.00,32.5,12,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.5722102,-0.1508220
1,101.2,0.0,00:00:25.1,00:01:50.6,4.52,00:00:00.0,0.00,34.0,13,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.5721906,-0.1509273
1,108.6,0.0,00:00:27.0,00:01:50.9,4.51,00:00:00.0,0.00,32.5,14,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.5721726,-0.1510336
