Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-5549M,,,Name:,Jeremy Austin's SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/18/2024 12:53,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5549.9,0.0,00:17:03.5,00:01:32.3,5.42,00:00:00.0,0.00,31.0,478,11.6,0.0,---,---,---,---,---,---,---,---,---,---,51.4774725,-0.2741708


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5549.9,0.0,00:17:03.5,00:01:32.3,5.42,00:00:00.0,0.00,31.0,478,11.6,0.0,---,---,---,---,---,---,---,---,---,---,51.4774725,-0.2741708



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5.2,0.0,00:00:02.2,00:03:38.3,2.29,00:00:00.0,0.00,27.0,1,5.2,0.0,---,---,---,---,---,---,---,---,---,---,51.4774725,-0.2741708
1,11.1,0.0,00:00:04.5,00:03:25.8,2.43,00:00:00.0,0.00,24.0,2,5.8,0.0,---,---,---,---,---,---,---,---,---,---,51.4774274,-0.2741283
1,23.6,0.0,00:00:08.0,00:02:51.2,2.92,00:00:00.0,0.00,17.5,3,12.5,0.0,---,---,---,---,---,---,---,---,---,---,51.4773270,-0.2740466
1,36.8,0.0,00:00:11.0,00:02:12.6,3.77,00:00:00.0,0.00,21.5,4,13.2,0.0,---,---,---,---,---,---,---,---,---,---,51.4772203,-0.2739643
1,50.5,0.0,00:00:13.8,00:01:51.1,4.50,00:00:00.0,0.00,21.5,5,13.7,0.0,---,---,---,---,---,---,---,---,---,---,51.4771082,-0.2738812
1,62.9,0.0,00:00:16.4,00:01:41.8,4.91,00:00:00.0,0.00,22.0,6,12.4,0.0,---,---,---,---,---,---,---,---,---,---,51.4770050,-0.2738155
1,77.1,0.0,00:00:19.0,00:01:38.0,5.10,00:00:00.0,0.00,22.5,7,14.2,0.0,---,---,---,---,---,---,---,---,---,---,51.4768851,-0.2737438
1,91.6,0.0,00:00:21.8,00:01:36.5,5.18,00:00:00.0,0.00,22.5,8,14.5,0.0,---,---,---,---,---,---,---,---,---,---,51.4767625,-0.2736751
