Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-13389M,,,Name:,Charalampos' SC,,,Firmware:,---,,,Boat ID:,---
Start Time:,06/13/2024 06:10,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2469836,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,13389.6,0.0,01:11:55.1,00:02:41.3,3.10,00:00:00.0,0.00,24.0,1199,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2153260,0.1450599


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,13389.6,0.0,01:11:55.1,00:02:41.3,3.10,00:00:00.0,0.00,24.0,1199,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2153260,0.1450599



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,6.1,0.0,00:00:03.3,00:05:42.5,1.46,00:00:00.0,0.00,18.0,1,6.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2153260,0.1450599
1,33.7,0.0,00:00:31.5,00:06:49.8,1.22,00:00:00.0,0.00,41.5,2,27.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2155531,0.1452215
1,34.7,0.0,00:00:32.9,00:14:37.2,0.57,00:00:00.0,0.00,41.5,3,1.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2155612,0.1452293
1,36.1,0.0,00:00:34.1,00:12:26.3,0.67,00:00:00.0,0.00,42.5,4,1.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2155728,0.1452351
1,37.5,0.0,00:00:35.7,00:11:15.7,0.74,00:00:00.0,0.00,44.0,5,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2155850,0.1452427
1,38.4,0.0,00:00:36.9,00:10:09.8,0.82,00:00:00.0,0.00,43.0,6,0.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2155915,0.1452486
1,39.8,0.0,00:00:38.5,00:10:25.0,0.80,00:00:00.0,0.00,43.5,7,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2156039,0.1452567
1,40.9,0.0,00:00:39.9,00:10:25.0,0.80,00:00:00.0,0.00,42.0,8,1.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2156126,0.1452624
